Medicine,Category,Year-Month,Season,Units Sold,Stock Available,Expiry Date
Naproxen,Fever,2024-05,Spring,1752,1446,2026-12-31
Paracetamol,Fever,2024-07,Summer,1546,946,2026-12-31
Paracetamol,Cold,2024-01,Winter,1640,1346,2026-12-31
Fexofenadine,Cold,2024-07,Summer,1926,1020,2026-12-31
Acetaminophen,Fever,2024-10,Monsoon,2040,1460,2026-12-31
Carbocisteine,Cough,2024-08,Summer,1913,698,2026-12-31
Nimesulide,Fever,2024-01,Winter,2006,659,2026-12-31
Paracetamol,Fever,2024-03,Spring,1977,946,2026-12-31
Nimesulide,Fever,2024-05,Spring,1712,659,2026-12-31
Diphenhydramine,Cold,2024-12,Winter,1915,913,2026-12-31
Codeine (Prescription Only),Cough,2024-07,Summer,1669,1806,2026-12-31
Diclofenac,Fever,2024-06,Summer,1711,1660,2026-12-31
Acetaminophen,Fever,2024-05,Spring,1323,1460,2026-12-31
Levocetirizine,Cold,2024-10,Monsoon,1943,1150,2026-12-31
Nimesulide,Fever,2024-12,Winter,1880,659,2026-12-31
Carbocisteine,Cough,2024-11,Monsoon,1592,698,2026-12-31
Ibuprofen + Pseudoephedrine,Cold,2024-01,Winter,1510,1632,2026-12-31
Mefenamic Acid,Fever,2024-10,Monsoon,1812,1021,2026-12-31
Diclofenac,Fever,2024-11,Monsoon,1769,1660,2026-12-31
Carbocisteine,Cough,2024-03,Spring,2102,698,2026-12-31
Diphenhydramine,Cold,2024-03,Spring,1648,913,2026-12-31
Fexofenadine,Cold,2024-06,Summer,1650,1020,2026-12-31
Aspirin,Fever,2024-12,Winter,1516,623,2026-12-31
Levodropropizine,Cough,2024-10,Monsoon,1859,808,2026-12-31
Naproxen,Fever,2024-11,Monsoon,1705,1446,2026-12-31
Ibuprofen + Pseudoephedrine,Cold,2024-08,Summer,1647,1632,2026-12-31
Naproxen,Fever,2024-06,Summer,1736,1446,2026-12-31
Dextromethorphan,Cough,2024-03,Spring,1730,1445,2026-12-31
Mefenamic Acid,Fever,2024-02,Winter,1398,1021,2026-12-31
Diclofenac,Fever,2024-07,Summer,1535,1660,2026-12-31
Carbocisteine,Cough,2024-02,Winter,1586,698,2026-12-31
Codeine (Prescription Only),Cough,2024-04,Spring,1642,1806,2026-12-31
Mefenamic Acid,Fever,2024-11,Monsoon,1788,1021,2026-12-31
Levodropropizine,Cough,2024-02,Winter,1738,808,2026-12-31
Diphenhydramine,Cold,2024-09,Monsoon,1243,913,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-04,Spring,1745,922,2026-12-31
Paracetamol,Fever,2024-12,Winter,1482,946,2026-12-31
Paracetamol,Cold,2024-03,Spring,1993,1346,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-05,Spring,1978,922,2026-12-31
Bromhexine,Cough,2024-12,Winter,1574,872,2026-12-31
Dextromethorphan,Cough,2024-04,Spring,1668,1445,2026-12-31
Ibuprofen,Fever,2024-07,Summer,1513,1477,2026-12-31
Terbutaline,Cough,2024-08,Summer,1881,1365,2026-12-31
Ibuprofen,Fever,2024-12,Winter,1742,1477,2026-12-31
Ibuprofen,Fever,2024-09,Monsoon,1596,1477,2026-12-31
Ketorolac,Fever,2024-12,Winter,1850,1024,2026-12-31
Ambroxol,Cough,2024-09,Monsoon,1539,1527,2026-12-31
Acetaminophen,Fever,2024-12,Winter,1942,1460,2026-12-31
Paracetamol,Cold,2024-11,Monsoon,1581,1346,2026-12-31
Codeine (Prescription Only),Cough,2024-10,Monsoon,1752,1806,2026-12-31
Celecoxib,Fever,2024-06,Summer,1536,1489,2026-12-31
Aspirin,Fever,2024-11,Monsoon,1725,623,2026-12-31
Codeine (Prescription Only),Cough,2024-03,Spring,1436,1806,2026-12-31
Montelukast,Cold,2024-09,Monsoon,1279,1352,2026-12-31
Bromhexine,Cough,2024-09,Monsoon,1687,872,2026-12-31
Guaifenesin,Cough,2024-04,Spring,1851,716,2026-12-31
Montelukast,Cold,2024-11,Monsoon,1643,1352,2026-12-31
Mefenamic Acid,Fever,2024-11,Monsoon,1748,1021,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-01,Winter,1684,922,2026-12-31
Ibuprofen + Pseudoephedrine,Cold,2024-08,Summer,1767,1632,2026-12-31
Dextromethorphan,Cough,2024-12,Winter,1474,1445,2026-12-31
Codeine (Prescription Only),Cough,2024-12,Winter,1811,1806,2026-12-31
Terbutaline,Cough,2024-05,Spring,1671,1365,2026-12-31
Paracetamol,Cold,2024-03,Spring,1662,1346,2026-12-31
Acetaminophen,Fever,2024-10,Monsoon,2022,1460,2026-12-31
Naproxen,Fever,2024-06,Summer,1740,1446,2026-12-31
Celecoxib,Fever,2024-09,Monsoon,1598,1489,2026-12-31
Phenylephrine,Cold,2024-09,Monsoon,1857,1704,2026-12-31
Bromhexine,Cough,2024-03,Spring,1899,872,2026-12-31
Mefenamic Acid,Fever,2024-12,Winter,1924,1021,2026-12-31
Nimesulide,Fever,2024-03,Spring,1491,659,2026-12-31
Naproxen,Fever,2024-11,Monsoon,1783,1446,2026-12-31
Terbutaline,Cough,2024-09,Monsoon,1658,1365,2026-12-31
Paracetamol,Cold,2024-03,Spring,1938,1346,2026-12-31
Diclofenac,Fever,2024-07,Summer,1669,1660,2026-12-31
Naproxen,Fever,2024-08,Summer,1559,1446,2026-12-31
Diphenhydramine,Cold,2024-03,Spring,1774,913,2026-12-31
Ambroxol,Cough,2024-08,Summer,1906,1527,2026-12-31
Cetirizine,Cold,2024-01,Winter,1705,1246,2026-12-31
Fexofenadine,Cold,2024-05,Spring,1627,1020,2026-12-31
Phenylephrine,Cold,2024-03,Spring,1752,1704,2026-12-31
Ketorolac,Fever,2024-03,Spring,1963,1024,2026-12-31
Codeine (Prescription Only),Cough,2024-01,Winter,1821,1806,2026-12-31
Montelukast,Cold,2024-12,Winter,1623,1352,2026-12-31
Chlorpheniramine Maleate,Cold,2024-01,Winter,1720,1264,2026-12-31
Aspirin,Fever,2024-10,Monsoon,1578,623,2026-12-31
Codeine (Prescription Only),Cough,2024-06,Summer,1650,1806,2026-12-31
Guaifenesin,Cough,2024-03,Spring,1505,716,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-05,Spring,1818,922,2026-12-31
Cetirizine,Cold,2024-08,Summer,1731,1246,2026-12-31
Nimesulide,Fever,2024-02,Winter,1415,659,2026-12-31
Nimesulide,Fever,2024-10,Monsoon,1955,659,2026-12-31
Acebrophylline,Cough,2024-06,Summer,1667,1143,2026-12-31
Fexofenadine,Cold,2024-01,Winter,1508,1020,2026-12-31
Chlorpheniramine Maleate,Cold,2024-09,Monsoon,1474,1264,2026-12-31
Ambroxol,Cough,2024-06,Summer,1416,1527,2026-12-31
Acetaminophen,Fever,2024-11,Monsoon,1540,1460,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-05,Spring,2028,922,2026-12-31
Levocetirizine,Cold,2024-03,Spring,1926,1150,2026-12-31
Bromhexine,Cough,2024-05,Spring,1767,872,2026-12-31
Bromhexine,Cough,2024-03,Spring,1798,872,2026-12-31
Nimesulide,Fever,2024-09,Monsoon,2057,659,2026-12-31
Paracetamol,Fever,2024-05,Spring,1845,946,2026-12-31
Aspirin,Fever,2024-02,Winter,1619,623,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-07,Summer,1386,922,2026-12-31
Phenylephrine,Cold,2024-05,Spring,1575,1704,2026-12-31
Terbutaline,Cough,2024-06,Summer,1462,1365,2026-12-31
Diphenhydramine,Cold,2024-05,Spring,1479,913,2026-12-31
Codeine (Prescription Only),Cough,2024-02,Winter,1901,1806,2026-12-31
Fexofenadine,Cold,2024-11,Monsoon,1642,1020,2026-12-31
Acetaminophen,Fever,2024-08,Summer,1812,1460,2026-12-31
Codeine (Prescription Only),Cough,2024-04,Spring,1754,1806,2026-12-31
Levocetirizine,Cold,2024-10,Monsoon,1813,1150,2026-12-31
Mefenamic Acid,Fever,2024-11,Monsoon,1657,1021,2026-12-31
Acetaminophen,Fever,2024-12,Winter,1976,1460,2026-12-31
Bromhexine,Cough,2024-06,Summer,1535,872,2026-12-31
Paracetamol,Cold,2024-09,Monsoon,1586,1346,2026-12-31
Acebrophylline,Cough,2024-06,Summer,1440,1143,2026-12-31
Levocetirizine,Cold,2024-06,Summer,1595,1150,2026-12-31
Diphenhydramine,Cold,2024-08,Summer,1619,913,2026-12-31
Paracetamol,Cold,2024-06,Summer,1870,1346,2026-12-31
Bromhexine,Cough,2024-08,Summer,1683,872,2026-12-31
Mefenamic Acid,Fever,2024-01,Winter,1608,1021,2026-12-31
Phenylephrine,Cold,2024-10,Monsoon,1840,1704,2026-12-31
Carbocisteine,Cough,2024-12,Winter,1748,698,2026-12-31
Ibuprofen,Fever,2024-06,Summer,1998,1477,2026-12-31
Levodropropizine,Cough,2024-11,Monsoon,1255,808,2026-12-31
Terbutaline,Cough,2024-04,Spring,1550,1365,2026-12-31
Acebrophylline,Cough,2024-12,Winter,1743,1143,2026-12-31
Chlorpheniramine Maleate,Cold,2024-09,Monsoon,1417,1264,2026-12-31
Ambroxol,Cough,2024-09,Monsoon,1633,1527,2026-12-31
Ibuprofen + Pseudoephedrine,Cold,2024-07,Summer,1889,1632,2026-12-31
Diphenhydramine,Cold,2024-10,Monsoon,1599,913,2026-12-31
Mefenamic Acid,Fever,2024-06,Summer,1693,1021,2026-12-31
Levocetirizine,Cold,2024-04,Spring,1654,1150,2026-12-31
Mefenamic Acid,Fever,2024-07,Summer,1574,1021,2026-12-31
Diphenhydramine,Cold,2024-07,Summer,1662,913,2026-12-31
Naproxen,Fever,2024-12,Winter,1545,1446,2026-12-31
Nimesulide,Fever,2024-09,Monsoon,1936,659,2026-12-31
Acetaminophen,Fever,2024-01,Winter,1364,1460,2026-12-31
Levocetirizine,Cold,2024-12,Winter,1592,1150,2026-12-31
Paracetamol,Cold,2024-08,Summer,1568,1346,2026-12-31
Carbocisteine,Cough,2024-12,Winter,1813,698,2026-12-31
Acebrophylline,Cough,2024-11,Monsoon,1515,1143,2026-12-31
Codeine (Prescription Only),Cough,2024-12,Winter,1612,1806,2026-12-31
Aspirin,Fever,2024-10,Monsoon,1592,623,2026-12-31
Pseudoephedrine,Cold,2024-01,Winter,1784,1024,2026-12-31
Naproxen,Fever,2024-04,Spring,1629,1446,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-06,Summer,1627,922,2026-12-31
Paracetamol,Cold,2024-12,Winter,1447,1346,2026-12-31
Acetaminophen,Fever,2024-01,Winter,1594,1460,2026-12-31
Levocetirizine,Cold,2024-06,Summer,1379,1150,2026-12-31
Paracetamol,Fever,2024-06,Summer,1411,946,2026-12-31
Aspirin,Fever,2024-06,Summer,1612,623,2026-12-31
Ibuprofen,Fever,2024-09,Monsoon,1629,1477,2026-12-31
Montelukast,Cold,2024-09,Monsoon,1485,1352,2026-12-31
Ambroxol,Cough,2024-12,Winter,1930,1527,2026-12-31
Chlorpheniramine Maleate,Cold,2024-07,Summer,1618,1264,2026-12-31
Levodropropizine,Cough,2024-04,Spring,1373,808,2026-12-31
Aspirin,Fever,2024-09,Monsoon,1723,623,2026-12-31
Mefenamic Acid,Fever,2024-08,Summer,1826,1021,2026-12-31
Aspirin,Fever,2024-12,Winter,1454,623,2026-12-31
Montelukast,Cold,2024-07,Summer,1876,1352,2026-12-31
Diphenhydramine,Cold,2024-07,Summer,1638,913,2026-12-31
Phenylephrine,Cold,2024-01,Winter,1375,1704,2026-12-31
Acebrophylline,Cough,2024-03,Spring,1565,1143,2026-12-31
Mefenamic Acid,Fever,2024-10,Monsoon,1967,1021,2026-12-31
Montelukast,Cold,2024-10,Monsoon,1810,1352,2026-12-31
Diphenhydramine,Cold,2024-11,Monsoon,1892,913,2026-12-31
Aspirin,Fever,2024-09,Monsoon,1537,623,2026-12-31
Levodropropizine,Cough,2024-10,Monsoon,1953,808,2026-12-31
Paracetamol,Cold,2024-08,Summer,1531,1346,2026-12-31
Naproxen,Fever,2024-10,Monsoon,1463,1446,2026-12-31
Diclofenac,Fever,2024-10,Monsoon,1632,1660,2026-12-31
Chlorpheniramine Maleate,Cold,2024-07,Summer,1530,1264,2026-12-31
Carbocisteine,Cough,2024-07,Summer,1759,698,2026-12-31
Mefenamic Acid,Fever,2024-12,Winter,1965,1021,2026-12-31
Paracetamol,Fever,2024-06,Summer,1340,946,2026-12-31
Guaifenesin,Cough,2024-09,Monsoon,1280,716,2026-12-31
Ibuprofen + Pseudoephedrine,Cold,2024-07,Summer,1943,1632,2026-12-31
Diphenhydramine,Cold,2024-06,Summer,1730,913,2026-12-31
Pseudoephedrine,Cold,2024-05,Spring,1534,1024,2026-12-31
Acebrophylline,Cough,2024-01,Winter,1851,1143,2026-12-31
Diphenhydramine,Cold,2024-06,Summer,1810,913,2026-12-31
Carbocisteine,Cough,2024-06,Summer,1531,698,2026-12-31
Codeine (Prescription Only),Cough,2024-01,Winter,1923,1806,2026-12-31
Aspirin,Fever,2024-01,Winter,1814,623,2026-12-31
Paracetamol,Fever,2024-07,Summer,1567,946,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-02,Winter,1269,922,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-06,Summer,1553,922,2026-12-31
Phenylephrine,Cold,2024-03,Spring,1516,1704,2026-12-31
Bromhexine,Cough,2024-08,Summer,1440,872,2026-12-31
Terbutaline,Cough,2024-06,Summer,1638,1365,2026-12-31
Pseudoephedrine,Cold,2024-03,Spring,1709,1024,2026-12-31
Chlorpheniramine Maleate,Cold,2024-10,Monsoon,1398,1264,2026-12-31
Guaifenesin,Cough,2024-09,Monsoon,1432,716,2026-12-31
Guaifenesin,Cough,2024-12,Winter,1526,716,2026-12-31
Dextromethorphan,Cough,2024-11,Monsoon,1692,1445,2026-12-31
Cetirizine,Cold,2024-11,Monsoon,1749,1246,2026-12-31
Diclofenac,Fever,2024-10,Monsoon,1519,1660,2026-12-31
Pseudoephedrine,Cold,2024-12,Winter,1636,1024,2026-12-31
Acetaminophen,Fever,2024-11,Monsoon,1342,1460,2026-12-31
Nimesulide,Fever,2024-06,Summer,2006,659,2026-12-31
Levocetirizine,Cold,2024-12,Winter,1646,1150,2026-12-31
Pseudoephedrine,Cold,2024-08,Summer,1912,1024,2026-12-31
Phenylephrine,Cold,2024-11,Monsoon,1482,1704,2026-12-31
Montelukast,Cold,2024-09,Monsoon,1523,1352,2026-12-31
Levodropropizine,Cough,2024-05,Spring,1317,808,2026-12-31
Levocetirizine,Cold,2024-05,Spring,1592,1150,2026-12-31
Paracetamol,Fever,2024-07,Summer,1629,946,2026-12-31
Fexofenadine,Cold,2024-12,Winter,1707,1020,2026-12-31
Ambroxol,Cough,2024-02,Winter,1846,1527,2026-12-31
Paracetamol,Fever,2024-10,Monsoon,1865,946,2026-12-31
Chlorpheniramine Maleate,Cold,2024-08,Summer,1601,1264,2026-12-31
Diphenhydramine,Cold,2024-12,Winter,1915,913,2026-12-31
Bromhexine,Cough,2024-07,Summer,1852,872,2026-12-31
Diclofenac,Fever,2024-09,Monsoon,1709,1660,2026-12-31
Terbutaline,Cough,2024-01,Winter,2036,1365,2026-12-31
Celecoxib,Fever,2024-02,Winter,1511,1489,2026-12-31
Acebrophylline,Cough,2024-01,Winter,2005,1143,2026-12-31
Bromhexine,Cough,2024-10,Monsoon,1683,872,2026-12-31
Celecoxib,Fever,2024-05,Spring,1785,1489,2026-12-31
Paracetamol,Cold,2024-10,Monsoon,1847,1346,2026-12-31
Nimesulide,Fever,2024-08,Summer,1501,659,2026-12-31
Diclofenac,Fever,2024-06,Summer,1664,1660,2026-12-31
Ibuprofen,Fever,2024-08,Summer,1704,1477,2026-12-31
Nimesulide,Fever,2024-01,Winter,2078,659,2026-12-31
Pseudoephedrine,Cold,2024-12,Winter,1642,1024,2026-12-31
Acetaminophen,Fever,2024-02,Winter,1647,1460,2026-12-31
Levocetirizine,Cold,2024-09,Monsoon,1909,1150,2026-12-31
Nimesulide,Fever,2024-09,Monsoon,1857,659,2026-12-31
Celecoxib,Fever,2024-01,Winter,1889,1489,2026-12-31
Codeine (Prescription Only),Cough,2024-03,Spring,1546,1806,2026-12-31
Ibuprofen + Pseudoephedrine,Cold,2024-07,Summer,2030,1632,2026-12-31
Phenylephrine,Cold,2024-01,Winter,1426,1704,2026-12-31
Acetaminophen,Fever,2024-12,Winter,1853,1460,2026-12-31
Terbutaline,Cough,2024-07,Summer,1518,1365,2026-12-31
Naproxen,Fever,2024-10,Monsoon,1415,1446,2026-12-31
Chlorpheniramine Maleate,Cold,2024-03,Spring,1840,1264,2026-12-31
Aspirin,Fever,2024-10,Monsoon,1546,623,2026-12-31
Diphenhydramine,Cold,2024-06,Summer,1757,913,2026-12-31
Diclofenac,Fever,2024-11,Monsoon,2027,1660,2026-12-31
Carbocisteine,Cough,2024-04,Spring,1593,698,2026-12-31
Naproxen,Fever,2024-03,Spring,1918,1446,2026-12-31
Dextromethorphan,Cough,2024-06,Summer,2145,1445,2026-12-31
Fexofenadine,Cold,2024-10,Monsoon,1850,1020,2026-12-31
Ambroxol,Cough,2024-03,Spring,1663,1527,2026-12-31
Mefenamic Acid,Fever,2024-07,Summer,1584,1021,2026-12-31
Terbutaline,Cough,2024-03,Spring,2036,1365,2026-12-31
Dextromethorphan,Cough,2024-05,Spring,1520,1445,2026-12-31
Celecoxib,Fever,2024-09,Monsoon,1545,1489,2026-12-31
Acetaminophen,Fever,2024-09,Monsoon,1522,1460,2026-12-31
Diclofenac,Fever,2024-01,Winter,1705,1660,2026-12-31
Nimesulide,Fever,2024-02,Winter,1456,659,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-11,Monsoon,1863,922,2026-12-31
Dextromethorphan,Cough,2024-07,Summer,1802,1445,2026-12-31
Ketorolac,Fever,2024-06,Summer,1946,1024,2026-12-31
Montelukast,Cold,2024-07,Summer,1860,1352,2026-12-31
Paracetamol,Fever,2024-01,Winter,1538,946,2026-12-31
Fexofenadine,Cold,2024-02,Winter,1460,1020,2026-12-31
Codeine (Prescription Only),Cough,2024-03,Spring,1463,1806,2026-12-31
Diclofenac,Fever,2024-01,Winter,1925,1660,2026-12-31
Nimesulide,Fever,2024-12,Winter,1738,659,2026-12-31
Acetaminophen,Fever,2024-11,Monsoon,1374,1460,2026-12-31
Carbocisteine,Cough,2024-01,Winter,1785,698,2026-12-31
Ambroxol,Cough,2024-09,Monsoon,1599,1527,2026-12-31
Bromhexine,Cough,2024-02,Winter,1614,872,2026-12-31
Phenylephrine,Cold,2024-04,Spring,1707,1704,2026-12-31
Codeine (Prescription Only),Cough,2024-06,Summer,1668,1806,2026-12-31
Dextromethorphan,Cough,2024-07,Summer,1821,1445,2026-12-31
Terbutaline,Cough,2024-05,Spring,1701,1365,2026-12-31
Terbutaline,Cough,2024-12,Winter,1597,1365,2026-12-31
Ketorolac,Fever,2024-05,Spring,1936,1024,2026-12-31
Ketorolac,Fever,2024-01,Winter,1532,1024,2026-12-31
Codeine (Prescription Only),Cough,2024-08,Summer,1554,1806,2026-12-31
Terbutaline,Cough,2024-03,Spring,1842,1365,2026-12-31
Pseudoephedrine,Cold,2024-02,Winter,1610,1024,2026-12-31
Paracetamol,Fever,2024-09,Monsoon,1863,946,2026-12-31
Bromhexine,Cough,2024-12,Winter,1745,872,2026-12-31
Diclofenac,Fever,2024-02,Winter,1451,1660,2026-12-31
Paracetamol,Cold,2024-06,Summer,1683,1346,2026-12-31
Diclofenac,Fever,2024-08,Summer,2065,1660,2026-12-31
Paracetamol,Fever,2024-08,Summer,1610,946,2026-12-31
Chlorpheniramine Maleate,Cold,2024-08,Summer,1428,1264,2026-12-31
Phenylephrine,Cold,2024-05,Spring,1676,1704,2026-12-31
Pseudoephedrine,Cold,2024-09,Monsoon,1662,1024,2026-12-31
Terbutaline,Cough,2024-11,Monsoon,1616,1365,2026-12-31
Ambroxol,Cough,2024-12,Winter,1996,1527,2026-12-31
Levodropropizine,Cough,2024-06,Summer,1723,808,2026-12-31
Aspirin,Fever,2024-03,Spring,1848,623,2026-12-31
Dextromethorphan,Cough,2024-08,Summer,1590,1445,2026-12-31
Ibuprofen + Pseudoephedrine,Cold,2024-11,Monsoon,1616,1632,2026-12-31
Paracetamol,Cold,2024-02,Winter,1543,1346,2026-12-31
Ibuprofen + Pseudoephedrine,Cold,2024-03,Spring,1724,1632,2026-12-31
Terbutaline,Cough,2024-02,Winter,1524,1365,2026-12-31
Chlorpheniramine Maleate,Cold,2024-01,Winter,1755,1264,2026-12-31
Mefenamic Acid,Fever,2024-04,Spring,1648,1021,2026-12-31
Levodropropizine,Cough,2024-02,Winter,1561,808,2026-12-31
Acebrophylline,Cough,2024-04,Spring,1620,1143,2026-12-31
Montelukast,Cold,2024-06,Summer,1501,1352,2026-12-31
Levocetirizine,Cold,2024-04,Spring,1835,1150,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-04,Spring,1736,922,2026-12-31
Montelukast,Cold,2024-05,Spring,1520,1352,2026-12-31
Terbutaline,Cough,2024-07,Summer,1485,1365,2026-12-31
Phenylephrine,Cold,2024-03,Spring,1660,1704,2026-12-31
Chlorpheniramine Maleate,Cold,2024-09,Monsoon,1305,1264,2026-12-31
Naproxen,Fever,2024-02,Winter,1568,1446,2026-12-31
Ambroxol,Cough,2024-02,Winter,1886,1527,2026-12-31
Carbocisteine,Cough,2024-07,Summer,1666,698,2026-12-31
Chlorpheniramine Maleate,Cold,2024-02,Winter,1621,1264,2026-12-31
Dextromethorphan,Cough,2024-09,Monsoon,1799,1445,2026-12-31
Carbocisteine,Cough,2024-09,Monsoon,1165,698,2026-12-31
Paracetamol,Fever,2024-12,Winter,1527,946,2026-12-31
Ibuprofen,Fever,2024-04,Spring,1764,1477,2026-12-31
Terbutaline,Cough,2024-07,Summer,1464,1365,2026-12-31
Celecoxib,Fever,2024-07,Summer,1930,1489,2026-12-31
Ibuprofen,Fever,2024-07,Summer,1378,1477,2026-12-31
Naproxen,Fever,2024-05,Spring,1702,1446,2026-12-31
Levodropropizine,Cough,2024-09,Monsoon,2005,808,2026-12-31
Cetirizine,Cold,2024-11,Monsoon,1713,1246,2026-12-31
Aspirin,Fever,2024-11,Monsoon,1893,623,2026-12-31
Acebrophylline,Cough,2024-01,Winter,2054,1143,2026-12-31
Naproxen,Fever,2024-09,Monsoon,1419,1446,2026-12-31
Fexofenadine,Cold,2024-03,Spring,2200,1020,2026-12-31
Bromhexine,Cough,2024-11,Monsoon,1550,872,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-01,Winter,1913,922,2026-12-31
Guaifenesin,Cough,2024-12,Winter,1445,716,2026-12-31
Paracetamol,Fever,2024-10,Monsoon,1695,946,2026-12-31
Paracetamol,Cold,2024-04,Spring,1524,1346,2026-12-31
Chlorpheniramine Maleate,Cold,2024-12,Winter,1894,1264,2026-12-31
Celecoxib,Fever,2024-12,Winter,1714,1489,2026-12-31
Paracetamol,Cold,2024-05,Spring,1537,1346,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-02,Winter,1438,922,2026-12-31
Diclofenac,Fever,2024-04,Spring,1627,1660,2026-12-31
Ibuprofen,Fever,2024-03,Spring,1879,1477,2026-12-31
Phenylephrine,Cold,2024-09,Monsoon,1638,1704,2026-12-31
Chlorpheniramine Maleate,Cold,2024-05,Spring,1675,1264,2026-12-31
Levodropropizine,Cough,2024-02,Winter,1598,808,2026-12-31
Ibuprofen + Pseudoephedrine,Cold,2024-06,Summer,1654,1632,2026-12-31
Terbutaline,Cough,2024-02,Winter,1598,1365,2026-12-31
Mefenamic Acid,Fever,2024-05,Spring,1750,1021,2026-12-31
Ambroxol,Cough,2024-04,Spring,1550,1527,2026-12-31
Paracetamol,Cold,2024-05,Spring,1624,1346,2026-12-31
Levocetirizine,Cold,2024-01,Winter,1434,1150,2026-12-31
Bromhexine,Cough,2024-09,Monsoon,1534,872,2026-12-31
Ibuprofen,Fever,2024-05,Spring,1622,1477,2026-12-31
Nimesulide,Fever,2024-02,Winter,1620,659,2026-12-31
Montelukast,Cold,2024-06,Summer,1700,1352,2026-12-31
Guaifenesin,Cough,2024-05,Spring,1762,716,2026-12-31
Bromhexine,Cough,2024-02,Winter,1871,872,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-06,Summer,1467,922,2026-12-31
Paracetamol,Fever,2024-03,Spring,1683,946,2026-12-31
Montelukast,Cold,2024-11,Monsoon,1509,1352,2026-12-31
Cetirizine,Cold,2024-05,Spring,1848,1246,2026-12-31
Diclofenac,Fever,2024-01,Winter,1731,1660,2026-12-31
Naproxen,Fever,2024-05,Spring,1839,1446,2026-12-31
Acetaminophen,Fever,2024-07,Summer,1773,1460,2026-12-31
Ibuprofen,Fever,2024-06,Summer,1953,1477,2026-12-31
Ketorolac,Fever,2024-12,Winter,1742,1024,2026-12-31
Dextromethorphan,Cough,2024-02,Winter,1465,1445,2026-12-31
Ibuprofen,Fever,2024-12,Winter,1667,1477,2026-12-31
Montelukast,Cold,2024-11,Monsoon,1481,1352,2026-12-31
Phenylephrine,Cold,2024-04,Spring,1838,1704,2026-12-31
Naproxen,Fever,2024-01,Winter,1673,1446,2026-12-31
Fexofenadine,Cold,2024-01,Winter,1318,1020,2026-12-31
Fexofenadine,Cold,2024-05,Spring,1683,1020,2026-12-31
Ambroxol,Cough,2024-07,Summer,1421,1527,2026-12-31
Nimesulide,Fever,2024-02,Winter,1610,659,2026-12-31
Naproxen,Fever,2024-11,Monsoon,1636,1446,2026-12-31
Levodropropizine,Cough,2024-08,Summer,1907,808,2026-12-31
Levocetirizine,Cold,2024-10,Monsoon,1826,1150,2026-12-31
Ibuprofen,Fever,2024-08,Summer,1642,1477,2026-12-31
Levocetirizine,Cold,2024-03,Spring,1909,1150,2026-12-31
Guaifenesin,Cough,2024-08,Summer,1815,716,2026-12-31
Ketorolac,Fever,2024-07,Summer,1561,1024,2026-12-31
Pseudoephedrine,Cold,2024-09,Monsoon,1987,1024,2026-12-31
Ibuprofen,Fever,2024-10,Monsoon,1867,1477,2026-12-31
Montelukast,Cold,2024-03,Spring,1598,1352,2026-12-31
Acebrophylline,Cough,2024-03,Spring,1529,1143,2026-12-31
Codeine (Prescription Only),Cough,2024-09,Monsoon,1623,1806,2026-12-31
Chlorpheniramine Maleate,Cold,2024-01,Winter,1572,1264,2026-12-31
Terbutaline,Cough,2024-12,Winter,1575,1365,2026-12-31
Carbocisteine,Cough,2024-03,Spring,1767,698,2026-12-31
Chlorpheniramine Maleate,Cold,2024-11,Monsoon,1699,1264,2026-12-31
Cetirizine,Cold,2024-02,Winter,1834,1246,2026-12-31
Celecoxib,Fever,2024-07,Summer,1825,1489,2026-12-31
Levodropropizine,Cough,2024-11,Monsoon,1186,808,2026-12-31
Paracetamol,Cold,2024-02,Winter,1504,1346,2026-12-31
Levodropropizine,Cough,2024-07,Summer,1804,808,2026-12-31
Nimesulide,Fever,2024-07,Summer,1715,659,2026-12-31
Codeine (Prescription Only),Cough,2024-09,Monsoon,1755,1806,2026-12-31
Naproxen,Fever,2024-09,Monsoon,1345,1446,2026-12-31
Ibuprofen,Fever,2024-10,Monsoon,1706,1477,2026-12-31
Ketorolac,Fever,2024-09,Monsoon,1473,1024,2026-12-31
Fexofenadine,Cold,2024-04,Spring,1833,1020,2026-12-31
Phenylephrine,Cold,2024-04,Spring,1872,1704,2026-12-31
Naproxen,Fever,2024-04,Spring,1737,1446,2026-12-31
Paracetamol,Cold,2024-08,Summer,1613,1346,2026-12-31
Ketorolac,Fever,2024-06,Summer,1778,1024,2026-12-31
Carbocisteine,Cough,2024-03,Spring,1942,698,2026-12-31
